hotelid,outbounddeparturedatetime,inbounddeparturedatetime,countadults,countchildren,price,inbounddepartureairport,outboundarrivalairport,inboundarrivaldatetime,outbounddepartureairport,inboundarrivalairport,outboundarrivaldatetime,mealtype,oceanview,roomtype
576,2023-04-23T05:55:00+00:00,2023-04-27T07:50:00+00:00,3,0,2766,PMI,PMI,2023-04-27T10:35:00+00:00,HAM,HAM,2023-04-23T08:35:00+00:00,ALLINCLUSIVE,False,APARTMENT
426,2023-07-02T00:00:00+00:00,2023-07-08T00:00:00+00:00,2,0,1745,PMI,PMI,2023-07-08T08:45:00+00:00,CGN,CGN,2023-07-02T19:05:00+00:00,BREAKFAST,True,DOUBLE
426,2023-04-24T00:00:00+00:00,2023-04-28T00:00:00+00:00,2,0,1002,PMI,PMI,2023-04-28T11:30:00+00:00,FRA,FRA,2023-04-24T06:50:00+00:00,BREAKFAST,True,DOUBLE
284,2023-02-01T08:30:00+00:00,2023-02-05T11:45:00+00:00,2,0,3324,PMI,PMI,2023-02-05T21:40:00+00:00,PAD,PAD,2023-02-01T17:15:00+00:00,HALFBOARD,False,SUPERIOR
811,2023-07-29T00:00:00+00:00,2023-08-07T00:00:00+00:00,2,1,4353,PMI,PMI,2023-08-07T13:50:00+00:00,HAJ,HAJ,2023-07-29T21:30:00+00:00,ALLINCLUSIVE,False,DOUBLE
73,2023-05-23T00:00:00+00:00,2023-06-02T00:00:00+00:00,2,0,1881,PMI,PMI,2023-06-02T11:05:00+00:00,CGN,CGN,2023-05-23T22:00:00+00:00,NONE,False,DOUBLE
759,2023-05-23T00:00:00+00:00,2023-06-02T00:00:00+00:00,2,0,1422,PMI,PMI,2023-06-02T11:05:00+00:00,CGN,CGN,2023-05-23T22:00:00+00:00,NONE,False,STUDIO
423,2023-07-31T18:55:00+00:00,2023-08-06T07:10:00+00:00,2,0,1408,PMI,PMI,2023-08-06T10:05:00+00:00,BER,BER,2023-07-31T21:40:00+00:00,NONE,False,DOUBLE
693,2023-07-31T18:55:00+00:00,2023-08-06T07:10:00+00:00,2,0,2220,PMI,PMI,2023-08-06T10:05:00+00:00,BER,BER,2023-07-31T21:40:00+00:00,NONE,False,APARTMENT
411,2023-10-03T00:00:00+00:00,2023-10-12T00:00:00+00:00,3,2,4438,PMI,PMI,2023-10-12T20:30:00+00:00,FMM,FMM,2023-10-03T14:55:00+00:00,BREAKFAST,False,DOUBLE
442,2023-05-04T15:55:00+00:00,2023-05-07T09:20:00+00:00,3,0,1221,PMI,PMI,2023-05-07T11:40:00+00:00,DUS,DUS,2023-05-04T18:20:00+00:00,ALLINCLUSIVE,False,STUDIO
371,2023-07-17T04:45:00+00:00,2023-07-22T02:55:00+00:00,2,1,1290,PMI,PMI,2023-07-22T05:10:00+00:00,FRA,FRA,2023-07-17T06:50:00+00:00,NONE,False,APARTMENT
212,2023-07-11T00:00:00+00:00,2023-07-18T00:00:00+00:00,2,1,2102,PMI,PMI,2023-07-18T12:25:00+00:00,FMM,FMM,2023-07-11T22:55:00+00:00,BREAKFAST,False,ECONOMY
10,2023-07-18T00:00:00+00:00,2023-07-26T00:00:00+00:00,1,2,1832,PMI,PMI,2023-07-26T22:20:00+00:00,NUE,NUE,2023-07-18T19:50:00+00:00,NONE,False,APARTMENT
324,2023-07-18T00:00:00+00:00,2023-07-26T00:00:00+00:00,1,2,4323,PMI,PMI,2023-07-26T22:20:00+00:00,NUE,NUE,2023-07-18T19:50:00+00:00,BREAKFAST,False,FAMILY
644,2023-07-14T00:00:00+00:00,2023-07-21T00:00:00+00:00,2,0,1491,PMI,PMI,2023-07-21T11:20:00+00:00,SCN,SCN,2023-07-14T08:10:00+00:00,NONE,True,DOUBLE
532,2023-07-14T00:00:00+00:00,2023-07-21T00:00:00+00:00,2,0,1588,PMI,PMI,2023-07-21T11:20:00+00:00,SCN,SCN,2023-07-14T08:10:00+00:00,NONE,False,DOUBLE
493,2023-08-29T11:10:00+00:00,2023-09-05T07:15:00+00:00,2,0,1978,PMI,PMI,2023-09-05T10:00:00+00:00,BER,BER,2023-08-29T13:55:00+00:00,HALFBOARD,False,TRIPLE
687,2023-07-20T00:00:00+00:00,2023-08-02T00:00:00+00:00,3,2,6200,PMI,PMI,2023-08-02T10:20:00+00:00,CGN,CGN,2023-07-20T22:10:00+00:00,NONE,False,APARTMENT
262,2023-06-21T15:55:00+00:00,2023-07-05T12:40:00+00:00,2,0,4740,PMI,PMI,2023-07-05T14:55:00+00:00,NUE,NUE,2023-06-21T18:10:00+00:00,ALLINCLUSIVEPLUS,False,DOUBLE
843,2023-08-10T00:00:00+00:00,2023-08-14T00:00:00+00:00,2,0,2077,PMI,PMI,2023-08-14T09:10:00+00:00,DRS,DRS,2023-08-10T20:35:00+00:00,NONE,False,DOUBLE
273,2023-08-04T00:00:00+00:00,2023-08-15T00:00:00+00:00,2,0,3100,PMI,PMI,2023-08-15T11:25:00+00:00,STR,STR,2023-08-04T18:25:00+00:00,ALLINCLUSIVE,False,STUDIO
498,2023-09-21T06:05:00+00:00,2023-09-28T09:10:00+00:00,2,0,1512,PMI,PMI,2023-09-28T11:20:00+00:00,SCN,SCN,2023-09-21T08:10:00+00:00,NONE,False,APARTMENT
19,2023-09-21T06:05:00+00:00,2023-09-28T09:10:00+00:00,2,0,1426,PMI,PMI,2023-09-28T11:20:00+00:00,SCN,SCN,2023-09-21T08:10:00+00:00,BREAKFAST,False,DOUBLE
875,2023-10-09T16:15:00+00:00,2023-10-17T16:05:00+00:00,2,0,1824,PMI,PMI,2023-10-17T18:25:00+00:00,FRA,FRA,2023-10-09T18:20:00+00:00,BREAKFAST,False,DOUBLE
519,2023-05-14T18:30:00+00:00,2023-05-25T18:30:00+00:00,2,0,1442,PMI,PMI,2023-05-25T21:05:00+00:00,BRE,BRE,2023-05-14T21:00:00+00:00,BREAKFAST,False,STUDIO
972,2023-02-17T18:10:00+00:00,2023-02-21T13:40:00+00:00,1,0,772,PMI,PMI,2023-02-21T18:25:00+00:00,CGN,CGN,2023-02-17T20:30:00+00:00,NONE,False,SINGLE
712,2023-10-04T00:00:00+00:00,2023-10-11T00:00:00+00:00,2,2,2641,PMI,PMI,2023-10-11T11:55:00+00:00,CGN,CGN,2023-10-04T07:50:00+00:00,BREAKFAST,False,APARTMENT
105,2023-06-02T00:00:00+00:00,2023-06-16T00:00:00+00:00,2,0,3199,PMI,PMI,2023-06-16T12:55:00+00:00,FRA,FRA,2023-06-02T16:05:00+00:00,HALFBOARD,False,DOUBLE
151,2023-06-02T00:00:00+00:00,2023-06-16T00:00:00+00:00,2,0,2111,PMI,PMI,2023-06-16T12:55:00+00:00,FRA,FRA,2023-06-02T16:05:00+00:00,NONE,False,DOUBLE
449,2023-07-23T00:00:00+00:00,2023-07-30T00:00:00+00:00,2,0,1727,PMI,PMI,2023-07-30T16:40:00+00:00,DRS,DRS,2023-07-23T18:40:00+00:00,NONE,False,DOUBLE
694,2023-07-23T00:00:00+00:00,2023-07-30T00:00:00+00:00,2,0,2458,PMI,PMI,2023-07-30T16:40:00+00:00,DRS,DRS,2023-07-23T18:40:00+00:00,NONE,False,APARTMENT
316,2023-08-12T06:00:00+00:00,2023-08-19T08:15:00+00:00,2,2,2484,PMI,PMI,2023-08-19T10:35:00+00:00,DUS,DUS,2023-08-12T08:25:00+00:00,ALLINCLUSIVE,False,DOUBLE
366,2023-06-13T16:40:00+00:00,2023-06-23T12:50:00+00:00,2,0,1924,PMI,PMI,2023-06-23T15:20:00+00:00,DTM,DTM,2023-06-13T18:55:00+00:00,ALLINCLUSIVE,False,FAMILY
454,2023-06-02T05:55:00+00:00,2023-06-06T20:55:00+00:00,2,1,2013,PMI,PMI,2023-06-06T23:00:00+00:00,MUC,MUC,2023-06-02T08:05:00+00:00,BREAKFAST,True,DOUBLE
847,2023-09-23T14:10:00+00:00,2023-10-14T17:20:00+00:00,2,0,2036,PMI,PMI,2023-10-14T19:35:00+00:00,NUE,NUE,2023-09-23T16:20:00+00:00,HALFBOARD,False,DOUBLE
121,2023-09-23T16:55:00+00:00,2023-10-14T14:30:00+00:00,2,0,3774,PMI,PMI,2023-10-14T16:45:00+00:00,NUE,NUE,2023-09-23T19:10:00+00:00,ALLINCLUSIVE,False,DOUBLE
326,2023-06-26T17:45:00+00:00,2023-07-01T09:05:00+00:00,1,3,1648,PMI,PMI,2023-07-01T11:10:00+00:00,MUC,MUC,2023-06-26T19:55:00+00:00,NONE,False,APARTMENT
363,2023-05-23T06:15:00+00:00,2023-06-01T09:00:00+00:00,2,0,1508,PMI,PMI,2023-06-01T11:05:00+00:00,STR,STR,2023-05-23T08:20:00+00:00,HALFBOARD,True,DOUBLE
569,2023-06-12T06:25:00+00:00,2023-06-16T10:05:00+00:00,1,0,563,PMI,PMI,2023-06-16T12:10:00+00:00,STR,STR,2023-06-12T08:30:00+00:00,BREAKFAST,False,SINGLE
389,2023-09-28T00:00:00+00:00,2023-10-03T00:00:00+00:00,2,0,1537,PMI,PMI,2023-10-03T17:30:00+00:00,BRE,BRE,2023-09-28T22:30:00+00:00,NONE,False,DOUBLE
974,2023-09-28T00:00:00+00:00,2023-10-03T00:00:00+00:00,2,0,2239,PMI,PMI,2023-10-03T17:30:00+00:00,BRE,BRE,2023-09-28T22:30:00+00:00,BREAKFAST,False,SUITE
967,2023-09-28T00:00:00+00:00,2023-10-03T00:00:00+00:00,2,0,1606,PMI,PMI,2023-10-03T17:30:00+00:00,BRE,BRE,2023-09-28T22:30:00+00:00,NONE,False,FAMILY
356,2023-09-28T00:00:00+00:00,2023-10-03T00:00:00+00:00,2,0,1920,PMI,PMI,2023-10-03T17:30:00+00:00,BRE,BRE,2023-09-28T22:30:00+00:00,BREAKFAST,False,DOUBLE
3,2023-10-24T11:20:00+00:00,2023-10-31T09:00:00+00:00,2,0,1274,PMI,PMI,2023-10-31T11:35:00+00:00,DRS,DRS,2023-10-24T13:40:00+00:00,HALFBOARD,False,ACCORDINGDESCRIPTION
613,2023-04-08T14:45:00+00:00,2023-04-14T07:45:00+00:00,2,0,1788,PMI,PMI,2023-04-14T10:35:00+00:00,BER,BER,2023-04-08T17:25:00+00:00,HALFBOARD,False,STUDIO
546,2023-04-08T14:45:00+00:00,2023-04-14T07:45:00+00:00,2,0,1658,PMI,PMI,2023-04-14T10:35:00+00:00,BER,BER,2023-04-08T17:25:00+00:00,ALLINCLUSIVE,False,DOUBLE
602,2023-04-09T18:35:00+00:00,2023-04-16T15:05:00+00:00,2,0,2614,PMI,PMI,2023-04-16T17:50:00+00:00,BER,BER,2023-04-09T21:20:00+00:00,HALFBOARD,False,ACCORDINGDESCRIPTION
288,2023-08-31T11:45:00+00:00,2023-09-09T12:45:00+00:00,2,1,2682,PMI,PMI,2023-09-09T20:20:00+00:00,MUC,MUC,2023-08-31T17:25:00+00:00,ALLINCLUSIVE,True,APARTMENT
771,2023-08-31T11:45:00+00:00,2023-09-09T12:45:00+00:00,2,1,2259,PMI,PMI,2023-09-09T20:20:00+00:00,MUC,MUC,2023-08-31T17:25:00+00:00,NONE,False,APARTMENT
425,2023-02-13T00:00:00+00:00,2023-02-16T00:00:00+00:00,1,0,428,PMI,PMI,2023-02-16T09:30:00+00:00,CGN,CGN,2023-02-13T11:20:00+00:00,BREAKFAST,False,SINGLE
427,2023-04-03T00:00:00+00:00,2023-04-07T00:00:00+00:00,2,2,1777,PMI,PMI,2023-04-07T16:05:00+00:00,VIE,VIE,2023-04-03T13:00:00+00:00,NONE,False,APARTMENT
649,2023-08-03T00:00:00+00:00,2023-08-10T00:00:00+00:00,2,0,2346,PMI,PMI,2023-08-10T16:30:00+00:00,PAD,PAD,2023-08-03T19:40:00+00:00,HALFBOARD,False,DOUBLE
586,2023-09-01T00:00:00+00:00,2023-09-03T00:00:00+00:00,3,1,1629,PMI,PMI,2023-09-03T06:45:00+00:00,DUS,DUS,2023-09-01T23:25:00+00:00,NONE,False,FAMILY
425,2023-07-24T00:00:00+00:00,2023-08-05T00:00:00+00:00,2,1,4479,PMI,PMI,2023-08-05T09:15:00+00:00,BER,BER,2023-07-24T08:45:00+00:00,NONE,False,DOUBLE
325,2023-07-12T00:00:00+00:00,2023-07-18T00:00:00+00:00,2,0,1984,PMI,PMI,2023-07-18T08:55:00+00:00,CGN,CGN,2023-07-12T19:20:00+00:00,HALFBOARD,False,STUDIO
502,2023-10-21T18:55:00+00:00,2023-10-26T09:30:00+00:00,4,0,10316,PMI,PMI,2023-10-26T12:10:00+00:00,HAJ,HAJ,2023-10-21T21:30:00+00:00,BREAKFAST,False,DOUBLE
681,2023-05-27T18:50:00+00:00,2023-06-03T09:25:00+00:00,2,0,1788,PMI,PMI,2023-06-03T11:55:00+00:00,FMO,FMO,2023-05-27T21:10:00+00:00,ALLINCLUSIVE,False,ACCORDINGDESCRIPTION
877,2023-04-03T12:50:00+00:00,2023-04-14T09:15:00+00:00,2,0,1502,PMI,PMI,2023-04-14T15:05:00+00:00,BER,BER,2023-04-03T19:55:00+00:00,HALFBOARD,False,DOUBLE
863,2023-08-05T00:00:00+00:00,2023-08-11T00:00:00+00:00,2,1,3039,PMI,PMI,2023-08-11T16:15:00+00:00,HAJ,HAJ,2023-08-05T22:20:00+00:00,ALLINCLUSIVE,False,DOUBLE
310,2023-06-02T00:00:00+00:00,2023-06-09T00:00:00+00:00,2,0,1803,PMI,PMI,2023-06-09T22:20:00+00:00,BER,BER,2023-06-02T21:55:00+00:00,ALLINCLUSIVE,False,DOUBLE
6,2023-10-16T00:00:00+00:00,2023-10-29T00:00:00+00:00,2,0,2666,PMI,PMI,2023-10-29T20:00:00+00:00,HAM,HAM,2023-10-16T19:55:00+00:00,BREAKFAST,False,DOUBLE
389,2023-05-28T17:25:00+00:00,2023-06-02T19:10:00+00:00,2,1,2766,PMI,PMI,2023-06-02T21:40:00+00:00,LEJ,LEJ,2023-05-28T19:55:00+00:00,ALLINCLUSIVE,False,SUITE
438,2023-06-08T20:00:00+00:00,2023-06-17T06:20:00+00:00,2,0,1980,PMI,PMI,2023-06-17T08:45:00+00:00,NRN,NRN,2023-06-08T22:20:00+00:00,BREAKFAST,False,SUITE
50,2023-06-09T19:20:00+00:00,2023-06-16T12:50:00+00:00,2,0,1420,PMI,PMI,2023-06-16T15:20:00+00:00,DTM,DTM,2023-06-09T21:35:00+00:00,NONE,False,APARTMENT
343,2023-06-09T19:20:00+00:00,2023-06-16T12:50:00+00:00,2,0,2336,PMI,PMI,2023-06-16T15:20:00+00:00,DTM,DTM,2023-06-09T21:35:00+00:00,BREAKFAST,False,DOUBLE
767,2023-06-27T00:00:00+00:00,2023-07-06T00:00:00+00:00,2,0,3115,PMI,PMI,2023-07-06T17:55:00+00:00,CGN,CGN,2023-06-27T09:30:00+00:00,NONE,False,APARTMENT
867,2023-10-01T13:10:00+00:00,2023-10-06T09:15:00+00:00,2,0,1770,PMI,PMI,2023-10-06T16:40:00+00:00,DRS,DRS,2023-10-01T17:20:00+00:00,HALFBOARD,False,ACCORDINGDESCRIPTION
772,2023-07-24T00:00:00+00:00,2023-07-31T00:00:00+00:00,2,0,1058,PMI,PMI,2023-07-31T11:35:00+00:00,STR,STR,2023-07-24T19:55:00+00:00,NONE,True,DOUBLE
226,2023-04-25T00:00:00+00:00,2023-05-03T00:00:00+00:00,2,0,1727,PMI,PMI,2023-05-03T08:30:00+00:00,BSL,BSL,2023-04-25T22:35:00+00:00,ALLINCLUSIVE,False,DOUBLE
874,2023-03-11T06:10:00+00:00,2023-03-17T11:15:00+00:00,2,0,998,PMI,PMI,2023-03-17T13:25:00+00:00,NUE,NUE,2023-03-11T08:20:00+00:00,BREAKFAST,False,DOUBLE
609,2023-08-27T00:00:00+00:00,2023-09-10T00:00:00+00:00,1,0,2028,PMI,PMI,2023-09-10T09:35:00+00:00,CGN,CGN,2023-08-27T22:25:00+00:00,NONE,False,STUDIO
704,2023-09-21T15:30:00+00:00,2023-09-30T08:15:00+00:00,2,0,1252,PMI,PMI,2023-09-30T10:35:00+00:00,DUS,DUS,2023-09-21T17:55:00+00:00,NONE,False,STUDIO
555,2023-09-21T15:30:00+00:00,2023-09-30T08:15:00+00:00,2,0,2174,PMI,PMI,2023-09-30T10:35:00+00:00,DUS,DUS,2023-09-21T17:55:00+00:00,BREAKFAST,False,DOUBLE
262,2023-10-04T13:30:00+00:00,2023-10-14T09:15:00+00:00,2,2,3684,PMI,PMI,2023-10-14T16:05:00+00:00,DUS,DUS,2023-10-04T20:30:00+00:00,ALLINCLUSIVEPLUS,False,SUITE
176,2023-10-05T00:00:00+00:00,2023-10-19T00:00:00+00:00,2,0,2194,PMI,PMI,2023-10-19T21:00:00+00:00,FRA,FRA,2023-10-05T15:30:00+00:00,NONE,False,DOUBLE
304,2023-06-01T18:10:00+00:00,2023-06-12T15:20:00+00:00,2,0,3190,PMI,PMI,2023-06-12T17:40:00+00:00,CGN,CGN,2023-06-01T20:30:00+00:00,ALLINCLUSIVE,False,DOUBLE
731,2023-09-05T16:10:00+00:00,2023-09-14T07:10:00+00:00,2,1,1599,PMI,PMI,2023-09-14T10:05:00+00:00,BER,BER,2023-09-05T18:55:00+00:00,NONE,False,APARTMENT
873,2023-08-13T00:00:00+00:00,2023-08-20T00:00:00+00:00,2,2,6196,PMI,PMI,2023-08-20T23:35:00+00:00,HHN,HHN,2023-08-13T20:25:00+00:00,BREAKFAST,False,SUITE
532,2023-09-01T00:00:00+00:00,2023-09-08T00:00:00+00:00,3,0,1779,PMI,PMI,2023-09-08T10:25:00+00:00,DUS,DUS,2023-09-01T23:25:00+00:00,NONE,False,TRIPLE
922,2023-05-17T00:00:00+00:00,2023-05-20T00:00:00+00:00,4,0,3003,PMI,PMI,2023-05-20T20:30:00+00:00,DRS,DRS,2023-05-17T09:50:00+00:00,NONE,False,DOUBLE
784,2023-05-17T00:00:00+00:00,2023-05-20T00:00:00+00:00,4,0,3150,PMI,PMI,2023-05-20T20:30:00+00:00,DRS,DRS,2023-05-17T09:50:00+00:00,NONE,False,DOUBLE
272,2023-05-17T00:00:00+00:00,2023-05-20T00:00:00+00:00,4,0,2900,PMI,PMI,2023-05-20T20:30:00+00:00,DRS,DRS,2023-05-17T09:50:00+00:00,HALFBOARD,False,SUITE
689,2023-04-29T00:00:00+00:00,2023-05-07T00:00:00+00:00,2,0,2137,PMI,PMI,2023-05-07T21:30:00+00:00,FRA,FRA,2023-04-29T17:25:00+00:00,BREAKFAST,False,SUITE
526,2023-07-12T00:00:00+00:00,2023-07-17T00:00:00+00:00,2,0,1049,PMI,PMI,2023-07-17T11:10:00+00:00,MUC,MUC,2023-07-12T19:55:00+00:00,BREAKFAST,False,DOUBLE
212,2023-09-06T13:45:00+00:00,2023-09-09T07:45:00+00:00,6,0,3900,PMI,PMI,2023-09-09T10:05:00+00:00,FRA,FRA,2023-09-06T15:55:00+00:00,BREAKFAST,False,DOUBLE
974,2023-07-20T06:00:00+00:00,2023-07-31T07:10:00+00:00,2,0,4734,PMI,PMI,2023-07-31T10:05:00+00:00,BER,BER,2023-07-20T08:45:00+00:00,BREAKFAST,False,SUITE
878,2023-06-11T00:00:00+00:00,2023-06-17T00:00:00+00:00,1,0,956,PMI,PMI,2023-06-17T11:25:00+00:00,FKB,FKB,2023-06-11T07:50:00+00:00,NONE,False,SINGLE
374,2023-07-23T15:45:00+00:00,2023-07-28T07:55:00+00:00,2,1,2788,PMI,PMI,2023-07-28T10:00:00+00:00,FKB,FKB,2023-07-23T17:45:00+00:00,NONE,False,DOUBLE
829,2023-08-07T00:00:00+00:00,2023-08-14T00:00:00+00:00,2,0,1835,PMI,PMI,2023-08-14T12:00:00+00:00,ZRH,ZRH,2023-08-07T13:20:00+00:00,NONE,False,FAMILY
414,2023-08-07T00:00:00+00:00,2023-08-14T00:00:00+00:00,2,0,2228,PMI,PMI,2023-08-14T12:00:00+00:00,ZRH,ZRH,2023-08-07T13:20:00+00:00,NONE,False,APARTMENT
875,2023-07-31T17:45:00+00:00,2023-08-06T09:05:00+00:00,1,1,1872,PMI,PMI,2023-08-06T11:10:00+00:00,MUC,MUC,2023-07-31T19:55:00+00:00,BREAKFAST,False,DOUBLE
278,2023-07-31T17:45:00+00:00,2023-08-06T09:05:00+00:00,1,1,1484,PMI,PMI,2023-08-06T11:10:00+00:00,MUC,MUC,2023-07-31T19:55:00+00:00,NONE,False,APARTMENT
121,2023-05-22T17:45:00+00:00,2023-05-26T08:20:00+00:00,2,0,1396,PMI,PMI,2023-05-26T10:35:00+00:00,MUC,MUC,2023-05-22T19:55:00+00:00,ALLINCLUSIVE,False,SINGLE
331,2023-05-27T00:00:00+00:00,2023-05-29T00:00:00+00:00,2,0,1066,PMI,PMI,2023-05-29T12:20:00+00:00,MUC,MUC,2023-05-27T17:45:00+00:00,BREAKFAST,False,STUDIO
576,2023-04-09T00:00:00+00:00,2023-04-15T00:00:00+00:00,1,1,2365,PMI,PMI,2023-04-15T11:45:00+00:00,DUS,DUS,2023-04-09T08:15:00+00:00,BREAKFAST,False,APARTMENT
777,2023-04-09T00:00:00+00:00,2023-04-15T00:00:00+00:00,1,1,1157,PMI,PMI,2023-04-15T11:45:00+00:00,DUS,DUS,2023-04-09T08:15:00+00:00,BREAKFAST,False,DOUBLE
140,2023-04-08T14:45:00+00:00,2023-04-15T09:35:00+00:00,2,0,2372,PMI,PMI,2023-04-15T12:20:00+00:00,BER,BER,2023-04-08T17:25:00+00:00,HALFBOARD,True,APARTMENT
473,2023-04-08T14:45:00+00:00,2023-04-15T09:35:00+00:00,2,0,2572,PMI,PMI,2023-04-15T12:20:00+00:00,BER,BER,2023-04-08T17:25:00+00:00,HALFBOARD,True,SUITE
621,2023-10-01T00:00:00+00:00,2023-10-15T00:00:00+00:00,2,0,1914,PMI,PMI,2023-10-15T16:55:00+00:00,VIE,VIE,2023-10-01T20:15:00+00:00,BREAKFAST,False,BUNGALOW
927,2023-10-01T00:00:00+00:00,2023-10-15T00:00:00+00:00,2,0,2021,PMI,PMI,2023-10-15T16:55:00+00:00,VIE,VIE,2023-10-01T20:15:00+00:00,BREAKFAST,False,DOUBLE
908,2023-06-05T00:00:00+00:00,2023-06-11T00:00:00+00:00,2,1,3078,PMI,PMI,2023-06-11T18:20:00+00:00,STR,STR,2023-06-05T19:55:00+00:00,ALLINCLUSIVE,False,STUDIO
311,2023-10-15T00:00:00+00:00,2023-10-26T00:00:00+00:00,2,2,3074,PMI,PMI,2023-10-26T11:40:00+00:00,LEJ,LEJ,2023-10-15T19:55:00+00:00,NONE,False,APARTMENT
680,2023-10-03T19:50:00+00:00,2023-10-11T06:40:00+00:00,2,2,3876,PMI,PMI,2023-10-11T09:15:00+00:00,FMO,FMO,2023-10-03T22:10:00+00:00,ALLINCLUSIVEPLUS,False,SUITE
506,2023-04-03T17:50:00+00:00,2023-04-12T07:45:00+00:00,2,2,6288,PMI,PMI,2023-04-12T10:35:00+00:00,BER,BER,2023-04-03T20:35:00+00:00,HALFBOARD,False,SUITE
446,2023-05-22T17:55:00+00:00,2023-06-18T08:30:00+00:00,2,1,8820,PMI,PMI,2023-06-18T10:35:00+00:00,STR,STR,2023-05-22T19:55:00+00:00,ALLINCLUSIVE,False,DOUBLE
449,2023-09-10T15:30:00+00:00,2023-09-19T07:50:00+00:00,1,0,833,PMI,PMI,2023-09-19T10:35:00+00:00,HAM,HAM,2023-09-10T18:15:00+00:00,NONE,False,SINGLE
873,2023-08-07T00:00:00+00:00,2023-08-16T00:00:00+00:00,2,2,8068,PMI,PMI,2023-08-16T10:25:00+00:00,FKB,FKB,2023-08-07T19:30:00+00:00,HALFBOARD,False,SUITE
160,2023-06-28T00:00:00+00:00,2023-07-06T00:00:00+00:00,2,0,2106,PMI,PMI,2023-07-06T12:20:00+00:00,MUC,MUC,2023-06-28T19:55:00+00:00,HALFBOARD,False,DOUBLE
830,2023-06-14T00:00:00+00:00,2023-06-28T00:00:00+00:00,1,0,1613,PMI,PMI,2023-06-28T11:10:00+00:00,MUC,MUC,2023-06-14T19:55:00+00:00,HALFBOARD,False,SINGLE
635,2023-05-28T00:00:00+00:00,2023-06-01T00:00:00+00:00,2,3,3668,PMI,PMI,2023-06-01T08:55:00+00:00,BSL,BSL,2023-05-28T22:50:00+00:00,HALFBOARD,False,APARTMENT
691,2023-06-15T17:45:00+00:00,2023-06-25T09:05:00+00:00,2,0,3226,PMI,PMI,2023-06-25T11:10:00+00:00,MUC,MUC,2023-06-15T19:55:00+00:00,HALFBOARD,False,SUITE
449,2023-10-16T00:00:00+00:00,2023-10-19T00:00:00+00:00,2,0,1145,PMI,PMI,2023-10-19T22:55:00+00:00,HAJ,HAJ,2023-10-16T06:10:00+00:00,NONE,False,DOUBLE
712,2023-10-16T00:00:00+00:00,2023-10-19T00:00:00+00:00,2,0,1226,PMI,PMI,2023-10-19T22:55:00+00:00,HAJ,HAJ,2023-10-16T06:10:00+00:00,NONE,False,APARTMENT
325,2023-07-20T00:00:00+00:00,2023-07-25T00:00:00+00:00,2,0,1930,PMI,PMI,2023-07-25T08:55:00+00:00,CGN,CGN,2023-07-20T22:10:00+00:00,HALFBOARD,False,STUDIO
611,2023-04-03T00:00:00+00:00,2023-04-07T00:00:00+00:00,2,0,881,PMI,PMI,2023-04-07T12:10:00+00:00,STR,STR,2023-04-03T23:25:00+00:00,HALFBOARD,False,DOUBLE
